Date,Price,Open,High,Low,Volume,Change %
10/12/2020,34577.26,35021.26,35021.26,34501.85,553.95,-1.27
10/11/2020,32647.1,32243.05,32647.1,32226.71,578.78,1.25
10/9/2020,25520.97,25424.91,25540.91,25403.33,234.15,0.38
10/8/2020,25027.61,25041.89,25046.29,24952.17,175.23,-0.06
10/7/2020,24306.36,24276.56,24315.39,24251.26,131.63,0.12
10/6/2020,25215.04,25335.15,25351.29,25130.61,266.65,-0.47
10/3/2020,24388.66,25412.57,25412.57,24381.88,594.47,-4.91
10/2/2020,27773.2,28067.09,28119.19,27772.16,200.16,-1.05
10/1/2020,29415.39,29393.88,29585.13,28858.83,280.86,0.07
9/30/2020,26837.42,26612.12,26862.21,26612.12,322.76,0.85
9/29/2020,26611.96,26507.84,26611.96,26427.58,413.1,0.39
9/28/2020,26507.84,26319.34,26512.05,26319.34,336.73,0.72
9/25/2020,26319.47,25987.14,26327.17,25987.14,335.74,1.28
9/24/2020,25987.14,25783.02,26021.75,25783.02,359.27,0.79
9/23/2020,25783.02,25654.9,25785.41,25631.12,414.16,0.5
9/22/2020,25654.9,25574.35,25655.18,25525.93,262.05,0.31
9/21/2020,25574.35,25572.57,25592.86,25564.36,196.11,0.01
9/18/2020,25572.57,25532.74,25572.57,25505.27,193.49,0.15
9/17/2020,25533.35,25550.31,25551.56,25507.84,231.19,-0.1
9/16/2020,25558.81,25598.53,25606.02,25535.41,211.45,-0.15
9/15/2020,25597.96,25605.59,25618.65,25573.96,245.14,-0.03
9/14/2020,25605.59,25591.95,25616.99,25577.33,256.97,0.05
9/12/2020,35021.26,35033.74,35039.8,35001.14,283.09,-0.04
9/11/2020,32243.05,31016.17,32243.05,31016.17,636.01,3.96
9/10/2020,28415.31,28546.22,28721.73,28371.7,384.04,-0.46
9/9/2020,25424.91,25493.88,25496.73,25414.42,269.62,-0.28
9/7/2020,24276.56,24278.07,24336.45,24276.56,192.03,-0.01
9/6/2020,25335.15,25249.96,25368.78,25249.96,268.74,0.34
9/4/2020,21384.03,21073.26,21385.85,20985.63,314.85,1.47
9/3/2020,25647.54,26141.24,26141.24,25648.45,185.49,-2.41
9/1/2020,29395.57,28562.48,29484.1,28539.16,693.19,2.92
8/31/2020,25327.13,25303.68,25334.11,25289.1,127.28,0.07
8/28/2020,25309.37,25304.25,25312.81,25289.35,137.05,0.05
8/27/2020,25297.55,25330.1,25330.1,25291.33,249.13,-0.13
8/26/2020,25330.1,25295.01,25332.51,25283.31,180.55,0.15
8/25/2020,25291.78,25228.38,25291.78,25201.79,251.34,0.25
8/24/2020,25229.12,25221.87,25232.68,25159.82,251.19,0.03
8/21/2020,25221.87,25203.36,25273.33,25203.36,158.6,0.07
8/20/2020,25204.58,25174.6,25204.58,25172.1,179.55,0.13
8/19/2020,25171.32,25136.49,25180.4,25131.56,180.01,0.14
8/18/2020,25136.49,25139.57,25151.36,25123.28,271,-0.03
8/17/2020,25143.68,25199.84,25234.49,25143.68,161.23,-0.22
8/14/2020,25199.84,25236.97,25236.97,25168.43,482.42,-0.15
8/13/2020,25236.97,25141.48,25239.91,25067.72,258.05,0.38
8/12/2020,35033.74,35064.36,35081.67,35020.79,307.72,-0.09
8/10/2020,28546.22,28634.35,28664.83,28398.74,568.74,-0.31
8/9/2020,25497.32,25585.67,25596.21,25490.01,251.96,-0.33
8/7/2020,24278.07,24097.48,24278.07,24097.48,232.61,0.75
8/6/2020,25250.2,25016.3,25412.54,25016.3,230.49,0.93
8/5/2020,24045.4,24361.14,24403.77,24030.65,208.56,-1.27
8/4/2020,21073.26,20925.19,21150.01,20925.19,346.41,0.71
8/1/2020,28562.48,27579.57,28562.48,27579.57,741.82,3.54
7/29/2020,24693.73,24650.16,24713.57,24646.84,101.53,0.18
7/28/2020,24650.16,24799.05,24800.81,24646.53,150.37,-0.54
7/27/2020,24783.61,24427.73,24788.17,24427.73,170,1.46
7/24/2020,24427.73,24512.27,24536.82,24409.99,174.19,-0.34
7/23/2020,24512.27,24173.53,24615.65,24170.97,164.07,1.4
7/22/2020,24173.53,24174.45,24192.52,24166.96,266.06,0
7/21/2020,24174.45,24269.58,24303.76,24130.23,304.19,-0.41
7/20/2020,24273.42,24287.66,24301.11,24273.42,305.1,-0.06
7/17/2020,24287.66,24323.5,24336.59,24256.64,160.47,-0.17
7/16/2020,24330.06,24129.84,24330.51,24112.4,207.4,0.82
7/15/2020,24132.3,24114.59,24210.22,24071.13,208.21,0.06
7/14/2020,24117.4,24200.6,24207,24095.41,208.2,-0.34
7/13/2020,24200.6,24306.36,24306.36,24162.7,231.23,-0.44
7/12/2020,35064.36,35137.99,35140.81,35064.36,324.31,-0.21
7/10/2020,28634.35,28945.41,29171.29,28484.87,832.88,-0.95
7/9/2020,25582.23,25605.64,25631.16,25573.24,253.96,-0.09
7/8/2020,25041.89,24944.45,25047.7,24944.45,166.94,0.45
7/7/2020,24098.08,24026.05,24152.67,24026.05,155.53,-0.05
7/5/2020,24354.25,24143.37,24369.45,24039.7,431.57,0.87
7/4/2020,20925.19,20683.16,20925.19,20667.55,342.57,1.24
7/2/2020,28067.09,28140.41,28195.75,28054.73,303.93,-0.26
7/1/2020,27586.93,27339.68,27699.59,27295.49,446.33,0.9
6/30/2020,24479.16,24858.82,24859.88,24448.23,280.67,-1.53
6/29/2020,24858.82,24828.96,24858.82,24740.06,158.45,0.12
6/26/2020,24828.96,24625.17,24829.17,24551.35,127.19,0.83
6/25/2020,24625.17,24654.99,24662.27,24619.84,130.28,-0.12
6/24/2020,24654.99,24750.06,24771.97,24636.63,189.23,-0.39
6/23/2020,24751.32,24753.92,24756.88,24649.39,167.9,-0.11
6/22/2020,24779.26,24826.75,24877.3,24651.3,124.66,-0.19
6/19/2020,24826.75,24933.41,25123.72,24819.12,174.67,-0.43
6/18/2020,24933.41,24972.89,25054.28,24913.26,171.16,-0.16
6/17/2020,24972.94,24930.88,24973.59,24816.45,265.95,0.17
6/16/2020,24930.88,24954.89,25046.42,24930.65,200.37,-0.1
6/15/2020,24956.04,25182.67,25196.62,24757.68,237.63,-0.9
6/11/2020,31016.17,30738.92,31016.17,30509.12,497.95,0.9
6/10/2020,28909.37,27561.51,28909.37,27561.51,749.47,4.92
6/8/2020,24930.34,24882.04,24931.91,24820.5,173.72,0.19
6/7/2020,24109.65,24336.12,24352.2,23961.14,189.67,-0.93
6/5/2020,24143.37,23815.34,24154.65,23807.14,426.63,1.4
6/4/2020,20669.38,21094.62,21208.95,20651.59,336.42,-2.02
6/3/2020,26279.61,26426.2,26455.26,26273.58,361.08,-0.55
6/2/2020,28140.41,28093.76,28385.36,27949.15,317.19,0.17
6/1/2020,27339.68,26968.79,27339.68,26968.68,520.39,1.38
5/29/2020,25267.82,25166.01,25393.03,25164.06,325.59,0.4
5/28/2020,25166.01,25229.02,25463.11,25131.33,348.21,-0.22
5/27/2020,25221.29,25204.75,25469.93,25054.11,581.59,0.07
5/22/2020,25204.75,24758.39,25205.18,24742.12,259.57,1.8
5/21/2020,24758.39,24452.23,24769.4,24426.56,350.66,1.25
5/20/2020,24452.23,24202.87,24467.28,24185.62,436.77,1.03
5/19/2020,24202.87,23943.29,24205.89,23943.29,339.75,0.8
5/18/2020,24010.19,23874.77,24010.19,23871.33,330.98,0.58
5/15/2020,23871.33,23872.44,23931.49,23840.8,221.44,-0.09
5/14/2020,23892.92,23709.44,23892.92,23709.2,182.74,0.77
5/13/2020,23709.44,23695.9,23759.84,23695.9,159.19,0.06
5/11/2020,30738.92,30741.88,30772.77,30722.48,430.12,-0.01
5/10/2020,27554.56,26985.77,27563.91,26985.77,603.89,2.11
5/8/2020,24882.04,24841.94,24910.02,24841.94,303.28,0.16
5/6/2020,25016.3,25312.05,25325.87,24875.56,214.5,-1.17
5/5/2020,23809.31,23089.86,23809.39,23075.49,343.95,3.12
5/3/2020,26426.2,26418.82,26626.07,26408.25,431.9,0.04
5/2/2020,28093.76,28432.27,28506.63,28032.23,350.21,-1.19
4/30/2020,23021.01,22868.4,23045.44,22636.59,359.46,0.67
4/29/2020,22868.4,22727.87,22884.49,22727.87,277.29,0.62
4/28/2020,22727.87,22616.28,22761.25,22616.28,266.62,0.49
4/27/2020,22616.28,22599.38,22649.2,22584.64,106.06,0.07
4/24/2020,22599.38,22470.79,22672.22,22458.37,211.53,0.57
4/23/2020,22470.79,22780.3,22805.14,22407.6,201.48,-1.36
4/22/2020,22780.3,22629.92,22799.78,22629.92,185.21,0.66
4/21/2020,22629.92,22920.41,22920.41,22612.97,248.16,-1.27
4/20/2020,22920.56,22921.59,23143.34,22920.13,343.24,0
4/17/2020,22921.59,22554.84,22927.88,22524.23,231.6,1.63
4/16/2020,22554.84,22539.94,22634.28,22380.94,379.11,0.07
4/15/2020,22539.94,21879.95,22543.48,21873.47,326.39,3.02
4/14/2020,21879.95,21384.03,21883.39,21239.02,264.74,2.32
4/12/2020,35137.99,34968.94,35140.8,34455.93,292.86,0.48
4/11/2020,30741.88,30733.47,30761.5,30724.21,286.45,0.03
4/9/2020,25605.64,25534.87,25618.48,25529.56,418.16,0.37
4/8/2020,24841.94,24766.12,24868.82,24764.26,154.47,0.31
4/6/2020,25312.05,25407.96,25434.62,25312.05,270.18,-0.38
4/5/2020,23089.86,23021.01,23121.74,22940.24,249.83,0.3
4/3/2020,26415.54,26283.35,26438.78,26256.24,307.66,0.61
4/2/2020,28432.27,28533.4,28540.3,28415.12,254.85,-0.35
3/31/2020,21300.47,21330.79,21340.64,21270.26,422,-0.14
3/30/2020,21330.79,21828.65,21828.65,21330.79,466.87,-2.43
3/27/2020,21861.78,21842.18,21885.05,21803.89,251.41,0.48
3/26/2020,21757.47,21729.48,21903,21696.88,172.16,0.13
3/25/2020,21729.48,21743.47,21814.74,21663.32,233.07,-0.05
3/24/2020,21741.16,21703.8,21770.42,21703.8,330.1,0.19
3/23/2020,21700.98,22198.43,22208.81,21694.16,464.36,-2.24
3/20/2020,22198.43,22072.56,22211.67,22035.11,379.48,0.36
3/19/2020,22118.9,22785.19,22785.19,22118.9,525.85,-2.94
3/18/2020,22789.64,22549.09,22804.7,22118.37,671.52,1.09
3/17/2020,22543.07,22705.19,23008.59,22497.73,675.82,-0.71
3/16/2020,22705.19,22745.39,22797.39,22618.36,551.48,-0.13
3/13/2020,22734.07,22729.01,22813.47,22550.08,732.62,0.17
3/12/2020,34968.94,35056.82,35195.09,34952.99,289.39,-0.25
3/11/2020,30733.47,30479.39,30735.46,30408.13,336.04,0.83
3/9/2020,25511.02,25460,25511.02,25460,229.41,0.2
3/8/2020,24766.12,24710.93,24776.08,24690.75,186.47,0.29
3/7/2020,24336.12,24374.38,24416.05,24332.36,144.3,-0.16
3/6/2020,25407.96,25383.43,25445.47,25308.5,353.26,0.1
3/4/2020,21094.62,21166.38,21197.32,20769.37,235.29,-0.13
3/3/2020,26255.11,25816.57,26344.55,25816.57,387.42,1.7
3/2/2020,28533.4,28843.53,28843.53,28389.6,246.51,-1.08
3/1/2020,26968.79,26867.79,26978.46,26867.79,608.86,0.38
2/28/2020,26216.46,26808.24,26808.24,26216.46,416.28,-2.21
2/27/2020,26808.24,26974.38,26977.4,26796.43,231.52,-0.62
2/26/2020,26974.38,27033.1,27033.9,26870.39,228.36,-0.22
2/25/2020,27033.1,27041.03,27105.46,27031.71,241.71,-0.03
2/24/2020,27041.03,27388.62,27515.79,27000.85,428.96,-1.27
2/21/2020,27388.62,27568.91,27614.65,27236.53,421.22,-0.65
2/20/2020,27568.91,27523.26,27622.42,27292.61,484.99,0.17
2/19/2020,27523.08,27547.56,27556.13,27512.72,290.13,-0.09
2/18/2020,27547.56,27570.94,27570.94,27527.51,168.07,-0.08
2/17/2020,27570.94,27756.56,27818.09,27507.99,134.61,-0.67
2/14/2020,27755.87,27864.84,27879.31,27675.52,132.51,-0.39
2/13/2020,27864.84,27881.45,27916.64,27686.34,150.72,-0.05
2/12/2020,35056.82,35147.62,35172.68,35031.65,368.96,-0.26
2/11/2020,30479.39,30527.69,30554.27,30364.15,376.11,-0.17
2/10/2020,26985.77,26831.76,26985.77,26830.59,459.79,0.55
2/9/2020,25460,25404.12,25461.66,25388.82,178.29,0.18
2/7/2020,24374.4,24594.99,24612.25,24357.75,180.1,-0.9
2/6/2020,25383.43,25316.24,25458.53,25316.24,377.86,0.25
2/4/2020,21121.2,21100.54,21170,20790.71,255.53,0.1
2/3/2020,25816.57,26143.02,26170.58,25816.57,325.26,-1.53
2/1/2020,26867.79,26845.79,26867.79,26657.32,263.2,0.1
1/31/2020,28843.53,29035.55,29096.29,28817.45,348.56,-0.65
1/30/2020,29030.93,29110.9,29222.83,28898.74,274.43,-0.27
1/29/2020,29110.9,29378.63,29381.95,29054.23,242.76,-0.91
1/28/2020,29378.63,29525.56,29529.6,29347.09,250.93,-0.59
1/27/2020,29552.99,29628.84,29648.35,29552.99,444.01,-0.26
1/24/2020,29628.84,29628.84,29628.84,29628.84,,0.13
1/23/2020,29591.29,29591.29,29591.29,29591.29,,0.45
1/22/2020,29458.21,29461.2,29488.93,29244.41,315.67,-0.02
1/21/2020,29462.76,29713.61,29723.75,29360.13,272.84,-0.83
1/20/2020,29710.56,29618.52,29713.84,29545.93,266.95,0.31
1/17/2020,29618.52,29352.13,29623.55,29331.35,324.97,0.91
1/16/2020,29352.13,29062.5,29497.97,29062.5,387.16,1
1/15/2020,29062.5,29030.41,29094.14,28855.22,360.08,-0.75
1/14/2020,29283.15,29633.58,29812.97,29037.12,666.78,-1.18
